hey guy glad see mangos back; neu
yes quite many aoe spell without radius information; neu
zakamurite contact way speak ...; neu
x-savior skype yakikhadafi e-mail; neu
email list git seem find account getmangos.com forum pm; neu
zakamurite send e-mail; neu
zakamurite please check email ... send message; neu
mean spell radius; neu
thank push lfg battlefields opcodes even keep comment initializeopcodes allow us work feature 'm really bad networking stuff sniffing; neu
good work core leave message mangos forum sure read really need get *_template table fix work udb team begin work data currently many field name mess follow; neu
undergarun; neu
send mail work; neu
need re-implement cmsg_item_query_single/smsg_item_query_single_response see trinity 's cmsg_request_hotfix/smsg_db_reply; neu
actually highguid_guild 0x1ff 7 highguid_player realm sniff realm identifier; neu
seem 0x1ff would sufficient least; neu
; neg
404 find; neu
want pony avatar; neu
http //2.bp.blogspot.com/-boq9zwpglk0/tlqul5vz7ti/aaaaaaaabqw/aaicadrn2ha/s1600/404_not_found_nginx.jpg want speak; neu
4.3.4; neu
're welcome test work fine; pos
yes work; pos
leave queue queue needconfirmation; neu
yes; pos
's heeelll ... come mango irc please question; neu
thx subv idea get ap scale client; neu
currency value quest_template must define _without_ precision; neu
wtf; neg
epic; neu
rofl; pos
yaaay; neu
от спасибо хорошо; neu
locale dont wirk borken even old system; neu
проверю скорее всего с загрузкой накосячил; neu
portraitturnintext_loc8 portraitturnintext_loc8; neu
зака уже правильно указали запятая в коде лишняя; neu
correct elemental shaman example use spirit base regen combat personally one retail; neu
spirit regen toolip show every spec wowpedia say non-healers n't receive spirit bonus regen need check sniff; neu
209 unit_field_power_regen_flat_modifier 1144048580/707.1838 -- spirit regen combat regen; neu
fun fact value actually store spellentry structure maxaffectedtargets field weird hack; compound
n't look spelltargetrestrictions xd; neg
say weird blizz hack; neu
+1; neu
+1 sure; pos
n't notice typo; neu
thx sar777; pos
/home/mangos/server/src/game/skillhandler.cpp:52:52 error ‘ stalenttabstore ’ declare scope; neu
thanks; pos
sql currency conversion wotlk cataclysm add; neu
big thanks help; pos
would focus 4.x.x 1.12.1 2.4.3 3.3.5 n't even finish yet mop come soon unfortunely start beginning stop rush expansion point view didi n't mean offence anyone e; neu
reason big core focus last patch big expansion 4.3.4 last cataclysm keep linger past 3.3.5 let face never; neu
mangos provide basic support every expansion feature look around patch different fork patch complete game content; neu
nice hear good job; pos
good work thx; pos
'm sell; neu
play official cataclysm think lamentable stupidity point view everyone 's taste; neu
dbauz comment n't stand anyway keep clear n't type stuff reason; neu
godspeed schmoo; neu
decide continue work http //github.com/cmangos; neu
author zergtmn 2,5 year ago ...; neu
's move code one place another error possible; neu
receive guid use must may equal current charmguid different reaction also event must result opcode ...; neu
obviously comment create placeholder fix stupid typo; neu
aleays free keep notion; pos
original method create placeholder move wrong bug code one place another please forgive stupidity think joking; pos
rsa good style work git repo good commit part file move new file good code move without change possible also let add project file update independent code change also good clear change vie; compound
владимир не берите на душу мне уже довольно давно надоело воевать с мельницами поэтому я больше прикалываюсь сейчас так вообще вся энергия ушла в -tree возможно это и хорошо хотя и втыкивание патчей с трехлетней историей тоже наверное плюс ... хз ...; neu
создание плейсхолдера часто техническая операция переноса того что туда должно уйти причем тут ошибки главное некий критерий сортировки что к нему относиться и все исправление ошибок для других коммитов не вижу повода для приколов он например нуже; neu
вот и надо было бы добавить чистый плейсхолдер без кода и без ошибок именно как плейсхолдер для дальнейшей работы не было бы повода прикалываться насчет добавления реализаций я не вижу что можно добавить рабочего из бранча kid10 там все настолько за; neu
schmoozerd something tell leave project pity hardly somewhere find another leader ... 'm long time take seriously perhaps good behavior something offend apologize good luck; compound
confirm rude n't think responsability; neu
rsa worry; neg
expect answer rudeness agree reflection real character 'm pretty much mangos member quite unintelligent profession bargain quiet place work past; neu
schmoozerd may know n't mind course kinda sad see leave; neu
compil error 4 must 4 line 4333 4341; neu
true enough already fix next commit; compound
use commit; pos
see reason take code fork especially good code; neu
hmm ... tc `` fork '' mangos use code others project least change copyright; neu
actually take code tc code author publish maybe via tc upstream; neu
receive comment e-mail guess drop comment well; neu
sorry reaction ok; pos
objectguid uint64 infact size mostly reason send const place register smart compiler x64 x32 platform; neu
wrong way writeguidmask writeguidbytes must take objectguid rather objectguid objectguid const; neu
well; pos
nice one; pos
commit fork first test compile virtual machine; neu
nice; pos
nice catch; pos
ca n't include unconditionally exist old ace version use system ace package unix; neu
think forget add include linux build break change following error; neu
reference http //github.com/mangos/mangos/issues/62; neu
erreur 1 error c1083 impossible d'ouvrir le fichier include 'sys/param.h' file directory c \users\daniel\desktop\pour serveur daniel\mangos\dep\ace_wrappers\ace\os_ns_thread.h 41; neu
'm process push fix n't think window like however ace include param.h platform support already two include actually seem unnecessary point fault copy old; neu
curio 've see ace freebsd port 1 n't use stability issue; neu
ace port 6.1.2 mangos fails build order use core would update well assume 's dependent deprecated change method different long exist ace-6.x.x also resea; neu
xd; pos
`` must call unit :attackstop '' n't good put private method attackstop _removeattacker unit 's method; neu
's call 'this attackstop maybe; neu
`` override override '' worthy inclusion annals history; neu
get; neu
works gcc 4.7.1 archlinux x86_64; neu
build error override patchhandler.h bufferedsocket.h realmd code able clear error build successfully add include `` common.h '' test yet see unpleasant; neu
field 2-4 6 8-9 additional variable replace log function updaterealm; neu
nice catch additional variable change 12071 thanks point; compound
stfc buddy; neu
think compiler; neu
true int-like type sure general use a++ expression part bad code style; neu
need default case^^; neu
nice; pos
thanks merge pain; neg
yes aware; pos
merge pain please provide patch open source community would keep big merge complication ...; neu
mine p; neu
time; neu
tom_rus style xd; pos
zakamurite 've stop merges time ago advise ...; neu
keep hostility towards mangos; neg
githubs eats comment; neu
please offer tool witch change style option make project; neu
reamer imo 's use perl regexpes ...; neu
question hostility towards anyone; neg
theluda; neu
yes sorry schmoo ask author n't pay much attention patch think something else; neu
actually write; neu
project link without special step ...; neu
compilation error sd2; neg
; neg
ah thank check sd2 late today; neu
fix sd2 2644 thank point; neu
talk mark function export probably; neu
team value faction template already forget id maybe seelct team_invalid really strange faction id like pig modelt id model case case bug reson value send client good catch bug case prevent client c; compound
well work commit basis; pos
schmoozerd author idea; neu
ah mean removegraveyard xfurry 's; neu
quick rebase random author mean even author hehe; neu
http //github.com/xfurry/mangos/commit/b3da109c5ca45c8ef146c409720f0bd6e053d520 p; neu
yes sure aked rough rebase familiar git also help get least idea opvp system design; compound
note http //getmangos.com/community login see old post; neu
'm author function link copy paste one old patch post old mango forums.and since forum dead ca n't check 's real author one; neu
yes check author; pos
well case actually schmoozerd author code/idea different base patch; neu
engrish; neu
вот не знал что-то как-то; neu
sorry 's bad ... 's term meant cheeky stab sometimes slightly unreadable grammar spell write non-english primary speak language contributor ... sometimes fat finger plain bad; neu
kirix engrish — это « язык » написанных по-английски с ошибками слов фраз и предложений существует наряду с chingrish но если chingrish относится только к китайскому то engrish — также к японскому корейскому вьетнамскому появился термин вследствие а; neu
add condition utility http //github.com/faramir118/mangosutil/commit/8f8232a8f676f35e214bfe2e22f413de93a638c8; neu
neat; pos
btw think add tool mangos maybe additional repo; neu
spellwork version mangos; neu
http //bitbucket.org/sidsukana/qsw/downloads; neu
already use interrup flag incorrect; neu
actually think would nice maybe visualize also gm on/off aura patch welcome; compound
typo; neu
obviously; neu
forgot update config version; neu
think config version updated format-changes think; neu
mostly old option default change different version option rename server configuration hidden change state; neu
else-case; neu
top part; pos
handle real group pet summon need huge hack code variant ...; neu
; neg
author insider42 kid10 source patch http //ru-mangos.ru/showthread.php t=779 similate error; neu
hm look indeed patch kid indeed version insider; neu
say patch similate error damage may low 250 anub healing _always_ really calculate target hp; neu
note int32 target- gethealth m_modifier.m_amount 0.01f reason convert int- float- int simple divide; neu
yes least source; pos
another note see anub healing; neu
indeed unfinished; neu
special delay need main spell speed fully realize mango healing percent seem diffirent different blizz patch use 2/3 3/2 sience 2010 bugreports expect player value; neu
interesting n't notice speed main spell --; neu
case system long time ago research realize mango tc r2 spell speed must affect spell trigger trigger aura speed must apply damage trigger distance 0 delay 0 heal trigger di; neu
thought would indicate spell-speed pass triggered spell; neu
least triggered spell trigger spell speed speed etc; neu
thx good catch; pos
bug appear anyway 's special tauren need special handling; compound
fr1nge tauren unique class extra option barbershop; neu
fr1nge also tauren get ability change skin tone patch 3.2.0 initial barbershop release; neu
nvm think druid skin tone change afaik nelfs n't problem taurens; neu
\*wall\*; neu
; neg
yes bad; neg
eye name good also use keyword `` object '' call worldobjects getobjectguid; neu
bad idea rename every single container typedef store guids use predefined typenames across project typenames must clarify kind data suppose store object type `` bgobjects '' `` guardianpetlist ''; neu
make name shorter compact still understandable everyone; neu
hooray ambal 's return nice see man; compound
good idd; pos
passing; neu
hmm indeed valid point; neu
ambal agree big problem varaible already name cleary general sigle type make sense pas common function args example need sure type; neu
n't agree ambal name variable must make use clear; neu
disagree ambal well ... guidset suppose objectguids matter player guids creature guids type objectguid also dont use seperate typedefs string playername creatu; neu
supporting name variable one give reader strong hint suppose store type guess depend `` school '' debate choose either camel casing hungarian notat; neu
strong position specific case guids think current code fine mostly; compound
wrong place check skip check areaid creature pet also may wrong zone buff; neu
function players..; neu
see handleauradummy example; neu
well never say function must use player atm; neu
n't understand see http //github.com/mangosr2/mangos/commit/7d2fb98deda53695056c5861105c9acfb4c68c50; neu
yes bad check; neg
idea thats actually correct ... rsa commit beeen gender well move area check first place; neu
proper likely make function work unit player check would change way course; neu
need control creature yes case player 's pet owner expect check apply allow maybe somewhere miss get spell mod source player access; neu
schmoozerd patch cause trigger spell missile spell cast caster position must cast target position; neu
sort n't require world-map-scripts eastern kingdom p; neu
need year solve simple problem ...; neu
creature case check load remember case think; neu
yeah; pos
think need anyspecialized lookup access check need load speed big different check pointer internal always null array slot; neu
http //www.proz.com/kudoz/english/art_literary/199056-farther_vs_furhter_farthest_vs_furthest.html; neu
hmm fix 13000 guess; neu
look forward p; neu
spell_aura_hover still need; neu
well exist spell aura yes; pos
n't think gcc 's gon na like `` override '' ...; neu
method define override class unit result execution unit :getrace dependent compiler ...; neu
somewhere `` define override `` line compiler n't know keyword; neu
's 'creature- setrace getcreaturemodelrace getnativedisplayid somewhere creature initialization code; neu
oh ok bad and..what keyword; neg
; neg
take less drugs..; neu
well compiler support override keyword token `` override '' trigger override keyword mark function overwrite polymorphism function help track change signature similar; compound
case good cache temp variable instead 2 unit :getrace access tp bytes array etc; neu
see http //en.wikipedia.org/wiki/virtual_function; neu
override safe use support note; compound
schmoozerd 's version object-oriented; neu
yes fully logical maitained see overload limitation make fylly oo need remake tree :getrace; neu
yes would possibel add database; neu
first part solve properly base; neu
schmoozerd 'm sorry write ca n't send private message wonder sd2 n't impletemented directly mangos like trinitycore infact would save much time compile instead 2 repo one; neu
well; pos
thanks understand; pos
also add; neu
somehow look ugly ...; neg
point apply += -= getbasepoints; neu
apply point += getbasepoints point -= getbasepoints; neu
yeah mainly matter opinion rather pointless argue; neu
right nonetheless would prefer four line original one; neu
wrong realization aka hack see spells 48586-48589; neu
see fix likely figure correctly xfurry; neu
sniff always see true chain 48590- 49586 ... temp summoner- 48592 need manual hack direction also additional visual ...; neu
48593 might also relate; neu
think rsa right case hack job; neu
48593 cast 27392 spawn 's visual effect; neu
xfurry applaude; neu
author; neu
upset place forget; neg
; neg
; neg
spell id use packet client list spell.dbc b also spell.dbc refer list spell.dbc trigger spell; neu
bad work rsa fully rigth; neu
pitiful scrap old patch spell_dbc despite three year thinking nothing sensible fail ...; neu
ofc use entire table problem; neu
implementation also small rework part spell_dbc `` light version '' without real functionality need repair broken absent spell like 58642 46924 example say `` stupid ugly ''; neu
offtopic; neu
possible soon require forum back first; neu
yes hope soon thx response sorry offtopic xd; compound
line 89 really make difference; neu
http //publib.boulder.ibm.com/infocenter/macxhelp/v6v81/topic/com.ibm.vacpp6m.doc/language/ref/clrc03defbitf.htm; neu
avoid padding use pack directive; neu
make e. g. mind sear broken; neu
spell-id; neu
53022; neu
thank much report; pos
... flag mean 's question; neu
well flag mark spell take position also important spell send client might result different visual effect; neu
11996 sorry long wait; neu
thank; pos
crush; neg
need forward declaration struct spellentry even compile without pch; neu
confirm; neu
thx guy must fix; neu
mention think talk nf thing well year ago; neu
suggest nearly 1,5 2 year ago answer dogmatic `` '' glad see thing change; neu
author maxxx2021 mioka remember correctly method fully good problem least possibility summon behind wal ...; neu
aware position might behind wall; neu
hmm old code totem create auto select proper point near expect include los check; neu
thank shauren; pos
test send smsg_spell_go time soon; neu
alright share retail research totem summon record would summon invalid position los position instead move directly top caster; neu
alright http //pastebin.com/zlettzsf; neu
шикарные коммиты последнее время спасибо; neu
come friendly pet make present owner sometimes; neu
someone kill typo makes really uncomfortable look; neg
anyone heart pheonix work correctly spell expect dead pet 'kindof relate ... way ... somewhat ...; neu
see correctly spell; neu
afaik comment simply incorrect never sound arena start begin; neu
good job lately guys see lot sweet change lately oh yeah anyone information /community/ get back; compound
somebody suggest evening; neu
see absolutely reason kind problem spell 24721 except dummy effect likely need implementation; neu
know sure combination; pos
nice idea; pos
0x150010; neu
emplace part c++11 standard wo n't compile visual studio 2008 early gcc w/o c++11 standard flag afair n't compile due error lol sure though; compound
even bad; neg
c++11 bo n't include emplace method std :multimap std :unordered_multimap ergo compile standart method anywhay due -only extension ...; neu
oh thank tell; pos
keep good work; pos
yeah; pos
schmoozerd author 2 month ago; neu
nice good job; pos
perhaps someone prove useful option request mysql; neu
impressive virusav; pos
python envelope 619 link forum check result 1365 record; neu
home computer request 8 second work 6 second; neu
yes sure problem fill optimal python script unfortunately n't; pos
edit check python script get 1350 record ytdb 619; neu
free time try accommodate request correct permutation сonditions place; neu
think maybe table _loot_template primary key specie entry item condition_id need greatly alter code; neu
entirely sure probably rather complicate; neu
've get think immediately remind fish fish catch summer winter time day though likely reference play; neu
good work thx; pos
chance condition; pos
added optimization; pos
nice; pos
indentation would nice else block; neu
; neg
perspective block entirely remove; neu
could use `` wotlk '' comment; neu
well reason way able use 5 5 basepoint-value directly; neu
float downtohealthpercent m_spellinfo- id 71123 0.05f m_spellinfo- calculatesimplevalue eff_idx 0.01f; neu
understand problem command commands always clear use random spell id ...; neu
remove command vladimir say easy remember command random spell id; neu
really require; neu
well let put way; neu
must clarify agree use middle unit :sethover redundent case; neu
yeah well ask curiosity since code ez maintain didnt see reason^^; compound
schmoozerd; neu
http //github.com/mangos/mangos/issues/44; neu
note think tc add something similar time ago add base outdoor pvp research write although could use code really worth effort ...; neu
well provide additional parameter required animation id call animid likely invention one person; neu
real usage 're say need outdoor pvp pvp objective something; neu
used flag animation ... glow http //www.wow-pvp-pve.com/contentpic/pvp/20080425062937633.jpg; neu
wow finish damn fast *likes* awesome work; compound
remove born name commit message please а то он долго будет ворочаться; neu
упс почему забрасываю и почему в июне агентство обс в действии; neu
рса почему ты в июне забрасываешь проект мангос р2; neu
point access hashmapholder directly findplayer wrapper check isinworld false teleport cause well know bug party member appear offline process; neu
week ago schmoozerd add arg findplayer prevent check isinworld false end objectaccessor :findplayer ... *false*; neu
must miss commit; pos
mean 1f96ccdfe24ffedd9eb303f73f5985a3a127e203 cyberium saw try backport schmooz patch cyberiums miss mango one; neu
keep numerical order; neu
n't notice non-order look; neu
didnt check every case; neu
commented line also ^^; neu
also add security display make game crash 15444 17116 15331 15332; neu
possible display id also cause client crash assume client; neu
answer question yes crash client; neu
really one might indeed worth filter; neu
gobs displayid 3111 wmo 7424 wmo 7667 wmo 5631 lose one might wmo; neu
need assert return case ...; neu
; neg
nighoo probably proper fix assert help track cause though really great user crash; compound
happen lot since check hostility attacker get hit campfire something assertion shutdown mango; neu
problem may appear 2 case break script/ai great hack effectenvironmentaldmg need remove hack error code insert `` gags '' like ...; neu
hmm yes..; neu
return value boolean null; neu
remove pitem check; neu
remove const; neu
case send value instead reference difference compiler; neu
already check; neu
git parser lose context fact chagnes queryresult* database :pquery const char *format ...; neu
thx answer hate small diffs xd; pos
thx; pos
eartly code already expect pitem null; neu
const also help compiler generate code make efficient use register; compound
could remove bracket p; neu
; neg
probably hex mask ... 7 4 fly 2 whatever 1 whatever; neu
7; neg
hex mask; neu
n't make sense look; neu
agree hehe; pos
's bitmask; neu
alarm webprogrammer intrusion detect; neu
say; neu
little typo format string 'world dead; neu
ah correct think; neu
extra test vc90 win32 release; neu
ah yes sorry bother; neg
np; pos
`` procedure entry point blah blah blah '' error server start win32 building vc90 project; neu
maybe miss; neg
yes thank; pos
lastmap always =0 value assignment; neu
case _must_ put identifier player *player1 *player2; neu
personally would prefer; neu
use if-context store different value different var use compiler merge use space code correctness good local if-context varibles ...; neu
oh missread agree 2 line declaration pointer type good protection code typo; compound
new getplayer function probably also use group online offline status commit fix player display offline teleport directly use hashmap old getplayer return pl; neu
probably talk http //github.com/mangos/mangos/commit/b447452d860b6c7c3990b089e2e27570197ac1bf src/game/grouphandler.cpp; neu
yea thats commit ment ofc might place well; neu
timer realy important without lot boss n't work bosses throw air; neu
would mean threat list less 2 player seem wrong raid usually 1 player; neu
great ^_^; pos
great work; pos
wtf happen; neg
ух ты ж нихрина себе совсем не ожидал; neu
wow ... mangos rullz 's great day community; compound
nice; pos
не прошло и пару лет грац; neu
nice work; pos
congratulations; pos
woot happen o.o; pos
congratulation; pos
cool; pos
nice; pos
pathfinding wow awesome; pos
entry inhabit air flag set database wont fall ground ...; neu
good thought; pos
redundant allow reset custom core people might want revert; neu
would say might reasonable custom handle relate reset custom core; neu
_how declare triggerspell first switch set different value case block would remove double switch wouldnt make much sense case though_; neu
doubt skip second switch replace n't count; neu
hahaha happen super job dedication new mangos user; compound
know really effective would nice able commits faster; compound
trail error downside make backports subprojects real hard example almost impossible backport lot stuff tc never know backport wrong commit simply experimental stuff trust; neu
possible player* target else crush pet ...; neu
method `` trial error '' efficient case development open source; neu
also try hardly less far obtain though course easy write ...; neu
http //github.com/mangosr2/mangos/commit/31cfffe67ddf39657acba9c6023b29c78e8afad6; neu
yes sure thank copy paste go instead unit; compound
good see master repo much time; neu
nice; pos
use m_cooldowntime instead m_grouploottimer suggest opvp; neu
might possible indeed; neu
`` find -iname `` *.h '' -o -iname `` *.cpp '' -o -iname `` *.inc '' -o -iname `` *.txt '' ... ``; neu
helper make update next year easier; compound
thanks schmoozerd want n't find old command anymore forget ...; neu
n't lazy; pos
1. 32-bit compiles coordinat 's value must double true check == 0.0f float random error 6-7 digit zero condition impossible correct check fabs x 0.0001 example 64bit sse commit work good; compound
principle right point; neu
make somewhere make someone single possible author code still unknown another author.. rsa troll match; neu
original author broodwyrm trinitycore fork apr 2010. similate effect 43972 spell; neu
know authentic author code publish code almost 2 year lay reference author even klark20 reinvent bike author; neu
point write patch self important anywhere similar parch exist still author patch; neu
point write patch self important anywhere similar parch exist still author patch; neu
part recent chatlog sd2-german; neu
somebody write code author code; neu
even completely self-invent wheel square shape purple color make author wheel ps inability find original source boast ...; neu
heart probably agree exist law enforcement practice say otherwise ...; neu
way effect would say code trivial trivial thing copyright; neu
rsa forget mention original author `` '' letter currently; neu
re-inventing blizzard 's wheel fashion must attribute authorship blizzard commits; neu
skirnirmangos exist least 3 way effect; neu
spell need fill reqlevel npc_trainer _template correct one still lvl 0; neu
yes; pos
uhm yes question usually ask 2+; neu
hmm sorry forget credit lose rebasing; neg
fix 11856 thank much; neu
miss; neg
mangos_mangos_string care; pos
completely wrong approach; neg
free opinion; pos
strange surprised opinion remove usual ...; neu
tempt use hungarian personally like good; compound
every time use hungarian notation god kill kitten ...; neu
check `` unittarget '' case 45141 45185 unittarget return; neu
forget ammend patch; neu
fault pay attention case 45141 check script anyway; neu
thank add soon tm; neu
miss unittarget check; neu
false forget; neg
need spell :m_spellinfo select per difficulty spell constructor always spell cast; neu
mango creature create yet add world one last thing; neu
vladimirmangos say map pointer set load creature_addon need select difficulty isinworld check need spell ctor; neu
hmm map pointer set add world; neu
yes probably substitute isinworld check getmap spell constructor; neu
possible ca n't cast spell player world case cleary need pas getmap value arg code base current creature map pointer value simplify change drop new arg loadcreatureaddon; neu
thanks always n't understand sense stupid restriction; compound
thx seem much correct version ...; neu
thx change 11832 twohandscore could use empty slot tabard body confuse add another one special replace equipment_slot_end 1 use define seem less correct st; neu
gearscore value match one calculate addon; neu
probably n't call gear score first place since one average ilvl player 's best item; neu
possible error find; neg
way typo 'cinem u __a__ /u tic 'cinemitic; neu
really n't understand ...; neu
thank test 11829; pos
still fail compile linux; neg
; neg
finally; neu
nice hopefully follow worldstatemgr; pos
wohoo; neu
error compilation linux; neg
thank test; pos
ok thank patch next commit; pos
still error include ...; neu
general ++slave_itr; neu
good question; pos
take look commit; pos
unsafe ++itr invalidate iterator po slaveguidlist.erase slave_itr; neu
thx point; pos
work gcc slave_itr slaveguidlist.erase slave_itr work wonderful; neu
use vs build sure slave_itr slaveguidlist.erase slave_itr work gcc; neu
_any_; neu
rsa thread-unsafe variant std :list thread-safe container; neu
http //www.cplusplus.com/reference/stl/list/erase/; neu
rsa suggest one n't dickass; neu
insignificant worm either suggest classic genre sprinkle ash bald head crawl back cemetery ...; neu
rsa case shut bother us worm den thanks url anyway; neu
got ta love good cat fight; compound
lordjz set twit need worry confusion may occur excess voltage; neu
please stop trolling issue discuss personal matter private; neu
confirm lordjz; neu
solutiuon slave_itr slaveguidlist.erase slave_itr though guess place need refactoring; neu
far s/ \w\d_ \.erase\ \w\d_ \+\+\ /\2 \1.erase \2 rest manually /\.erase\ .+\+\+/; neu
work gcc slave_itr slaveguidlist.erase slave_itr work wonderful; neu
personal opinion; neu
erase itr++ create iterator copy possible avoid returnning iterator version sure important find disadvantage google; neu
ah thanks; pos
triggered spell cooldown 6 second guess wo n't work ...; neu
im 100 sure blizz never plain cast spell multiple time achieve max stackamount aura creation; neu
sence dispute someone read line sniff; neu
shauren sure guy source check instead write memory; neu
zergtmn say trigger spell cd wo n't work must set stack amount aura creation; neu
ok get schmoozerd really indeed 11 time; neu
sound bit strange blizz would cast spell loop imo; neu
actually really..; neu
think 67106 use 25 man mode; neu
bad hack must set stack max already true limit trigger cyclic recast real see sniff; neu
honestly rsa; pos
'll leave `` discussion '' evolve flame war; neu
yes incorrect; pos
entry spelldifficulty; neu
ok forget getspellentrybydifficulty; pos
laise thx; pos
laise would cool drop irc; neu
sniff try add thing make ​​me year ago full accordance provide sniff want get please refer romanrom2 yuriy problem mango; neu
thank contribute fix 11811; neu
spellauraholder constructor switch-case spell need custom stack amount apply 4 max stack amount maybe add case; neu
guy post sniff question review preferably annotate 's always bit easy argue solid data ...; neu
udb 402 show error infact error udb; neg
note db devs; neu
length point == 1; neu
isunit check quaternion; neu
true schmoozerd; pos
fixed 11808 nice catch actually; neu
hackly way ... quest separate spell 4 credit 51974 51980 51977 51982 need implement hack like ...; neu
oh indeed miss exist spell; neu
see realization merge http //github.com/mangosr2/mangos/commit/0e40b31f66680427902de515255c5b491c7c0f1b; neu
n't bother; pos
heh fully true way require clean core 1 implement on_death procflag true way 2 implement possibility spell update dead creature 3 implement possibility proc aura without procflags 4 link procspells 4 aura something; neu
move sd2/eai hack much current commit simple object interaction like must realize spelleffects procs see sniff; neu
actually; neu
secret leave active development mango help question devs information/expirience part ask; compound
vladimirmangos say thank others bring fine day hour would n't correct anymore although fear end mangos project know wish best future project activity; compound
reason comment topic ask public forum think last week show development continue world still exist; neu
officially post forum guess would new record `` thanked bys '' post well ... thank vlad; compound
well ^^ mango die; neg
anyone tell n't see commits vlad recently; neu
mangos die along time ago; neu
thank vlad 're great dev 'll miss commits; compound
thank vlad contribution mangos tc remember admire much; compound
something add framework million year ago.. nobody like framework time; neu
know works..; neu
woohoo; pos
seem extremely dangerous multitasking environment however practice take look ...; neu
would n't good accuracy change uispellentry uispellid current expression may confuse; neu
agree spellentry spellentry struct uint32; neu
ca n't would loop checking exist aura must pick target target vector; neu
would extremely awesome add select_flag_not_in_melee_range exclude target give spell aura holder target unit already aura crucial instance encounter; neu
think overload spellid able add functionality `` hasaura '' `` hasaura '' sure really need kind power always create local helper thing; compound
'spell const* spell parameter use anymore; neu
need check old value one encounter credit may reach one time; compound
fully functional replace impossible check state encounter dungeon; neu
exactly creature kill single call spell :finish; neu
see may multi-boss last encounter spell may cast unexpected bos respawn; neu
state talk encounter complete reflect m_completedencountersmask far know n't link encounter map need load map id difficulty ofc ca; neu
spell cast expect encounter complete case wrong 've see multi-boss encounter always spell dependency 's update simple kill; neu
well desire leave open use bug error db script hard find everyone forget; neg
equal one option receive award lfg group must fulfill encounter last case use container verify; compound
dont need complete encounter order receive lfg reward least n't wotlk guess matter anyway thanks patch; compound
's discussied question ... 50/50 different opinion problem anyway possibility check complete separate encouter must check mask good idea encounter may disable dbc double heroic additional boss; neu
yea edit something; neu
think label wrong manually edit; neu
shmoo congrats mangos-dev status; pos
nice; pos
schmoozerd finally dev cool cheers; compound
ambal dev; neu
congratulations; pos
thank guy; pos
's late gz; neu
умерли; neu
отпуск; neu
все что хотели сделали.=; neu
все эти замалчивания и перемещения репозиториев наводят на нехорошие мысли; neu
use google translate; neu
cooler-sai usa tú el puto traductor de google sigue los estándares del proyecto; neu
forget add creature :forceddespawn crash fix; neg
supposed comment; neu
use anywhere virtual maybe good comment; neu
report another branch combustion still fix; neu
11774 thanks; pos
works like charm thank; pos
sadistic commit title ever xd; compound
based coded urand body diff 1..4 good fit trigger spell name; compound
grrrrrrr vladimir code style sometimes; neu
idea 're talk prng implementation use exactly platform mersenne twister nothing `` busy crash '' 's simple function call; neu
thanks fix 11768 forgot reply =\; neu
seems like miss one 'sql/mangos.sql corrent 'm wrong; neu
need add include `` unit.h '' spellmgr.h move enum spellmodop reliable place; neu
work solve problem need least define spellattr use ...; neu
'm sure correct usage allow select player channel spell n't information spell ca n't cast; neu
thank; pos
